cours,hight,indice,low,open_,time,var
9.082 ,9.142 ,CREDIT AGRICOLE SA,9.044 ,9.111 ,1666790215.7184987,-0.13%
132.020 ,134.220 ,AIR LIQUIDE,131.280 ,132.800 ,1666790215.7245002,-0.36%
105.380 ,105.880 ,AIRBUS,104.300 ,104.360 ,1666790215.7305093,+1.27%
19.980 ,20.030 ,ALSTOM,19.230 ,19.240 ,1666790215.7375028,+3.79%
47.965 ,48.565 ,DANONE,47.685 ,48.455 ,1666790215.7445107,-1.28%
47.315 ,47.650 ,BNP PARIBAS,47.030 ,47.445 ,1666790215.7515008,-0.04%
15.280 ,15.595 ,CARREFOUR,15.175 ,15.535 ,1666790215.7595105,-1.67%
173.050 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,1666790215.7675073,+0.03%
24.855 ,25.035 ,AXA,24.755 ,24.910 ,1666790215.7735038,-0.46%
1 349.500 ,1 374.000 ,HERMES INTL,1 342.000 ,1 355.500 ,1666790215.796508,-0.37%
91.840 ,92.270 ,VINCI,91.080 ,91.620 ,1666790215.800502,+1.83%
34.475 ,35.795 ,DASSAULT SYSTEMES,34.455 ,35.340 ,1666790215.8045285,-6.00%
164.950 ,166.950 ,ESSILORLUXOTTICA,164.000 ,164.850 ,1666790215.810499,-0.03%
31.950 ,32.200 ,RENAULT,31.500 ,31.700 ,1666790215.8174992,+0.35%
112.340 ,112.740 ,SAFRAN,110.100 ,110.200 ,1666790215.8244994,+1.81%
28.380 ,28.400 ,BOUYGUES,28.020 ,28.190 ,1666790215.8315167,+0.89%
13.014 ,13.130 ,ENGIE,12.974 ,13.030 ,1666790215.8375008,-0.21%
83.010 ,83.260 ,SANOFI,82.330 ,82.700 ,1666790215.8444998,+0.87%
41.770 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,1666790215.849499,+0.67%
65.000 ,65.220 ,EUROFINS SCIENTIFIC,64.020 ,64.820 ,1666790215.8565016,+0.03%
23.230 ,23.470 ,SOCIETE GENERALE,23.195 ,23.375 ,1666790215.8624992,-0.17%
13.538 ,13.608 ,STELLANTIS,13.400 ,13.496 ,1666790215.8695009,+0.04%
34.065 ,34.670 ,STMICROELECTRONICS,33.930 ,34.195 ,1666790215.873499,-3.17%
125.700 ,126.000 ,THALES,122.150 ,122.250 ,1666790215.879499,+3.37%
472.200 ,476.250 ,KERING,470.250 ,472.750 ,1666790215.8855057,-0.04%
132.540 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,1666790215.8905058,+0.94%
273.100 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,1666790215.8945022,-0.62%
52.670 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,1666790215.8994982,-1.09%
78.220 ,78.320 ,LEGRAND,76.100 ,76.260 ,1666790215.9044971,+2.33%
653.900 ,663.600 ,LVMH,651.100 ,659.400 ,1666790215.9104996,-0.62%
24.710 ,24.810 ,MICHELIN,23.700 ,23.700 ,1666790215.9144976,-3.21%
22.510 ,23.070 ,VEOLIA,22.490 ,22.730 ,1666790215.9194984,-0.97%
8.206 ,8.296 ,VIVENDI,8.164 ,8.296 ,1666790215.924501,-1.37%
44.200 ,44.740 ,WORLDLINE,43.300 ,43.670 ,1666790215.9274974,+0.98%
318.450 ,322.900 ,L'OREAL,318.100 ,321.400 ,1666790215.932503,-0.99%
9.434 ,9.514 ,ORANGE,9.378 ,9.420 ,1666790215.9365005,+0.31%
57.240 ,58.560 ,PUBLICIS GROUPE,57.060 ,58.560 ,1666790215.940498,-2.25%
174.000 ,177.050 ,PERNOD RICARD,173.050 ,176.900 ,1666790215.9474995,-2.00%
